Time,Volume,ATR,p1wick,p1body,p1tail,p1dir,p2wick,p2body,p2tail,p2dir,p3wick,p3body,p3tail,p3dir,ans
02,173843,0.0046172,0.0028900,0.0013500,0.0014300,1,0.0026400,0.0004500,0.0001700,0,0.0016200,0.0001100,0.0008500,1,SE
06,237996,0.0053560,0.0009000,0.0119800,0.0020800,0,0.0028900,0.0013500,0.0014300,1,0.0026400,0.0004500,0.0001700,0,L
10,150595,0.0054842,0.0007400,0.0042900,0.0021200,0,0.0009000,0.0119800,0.0020800,0,0.0028900,0.0013500,0.0014300,1,L
14,54420,0.0054074,0.0023100,0.0017600,0.0003400,1,0.0007400,0.0042900,0.0021200,0,0.0009000,0.0119800,0.0020800,0,L
18,95816,0.0052690,0.0013100,0.0012100,0.0009500,1,0.0023100,0.0017600,0.0003400,1,0.0007400,0.0042900,0.0021200,0,L
22,152705,0.0052620,0.0009900,0.0015000,0.0026800,0,0.0013100,0.0012100,0.0009500,1,0.0023100,0.0017600,0.0003400,1,L
02,174514,0.0051704,0.0022000,0.0001200,0.0016600,1,0.0009900,0.0015000,0.0026800,0,0.0013100,0.0012100,0.0009500,1,L
06,240108,0.0051647,0.0023300,0.0018600,0.0009000,1,0.0022000,0.0001200,0.0016600,1,0.0009900,0.0015000,0.0026800,0,L
10,149891,0.0052379,0.0041800,0.0010600,0.0009500,1,0.0023300,0.0018600,0.0009000,1,0.0022000,0.0001200,0.0016600,1,L
14,32742,0.0049952,0.0012800,0.0002100,0.0003500,0,0.0041800,0.0010600,0.0009500,1,0.0023300,0.0018600,0.0009000,1,L
14,22297,0.0048162,0.0004500,0.0010700,0.0005100,1,0.0012800,0.0002100,0.0003500,0,0.0041800,0.0010600,0.0009500,1,L
18,54659,0.0046808,0.0019200,0.0003600,0.0006400,1,0.0004500,0.0010700,0.0005100,1,0.0012800,0.0002100,0.0003500,0,L
22,149237,0.0046922,0.0008200,0.0033700,0.0006500,1,0.0019200,0.0003600,0.0006400,1,0.0004500,0.0010700,0.0005100,1,L
02,240914,0.0046942,0.0011300,0.0019900,0.0016000,0,0.0008200,0.0033700,0.0006500,1,0.0019200,0.0003600,0.0006400,1,L
06,174758,0.0049453,0.0013600,0.0055600,0.0012900,0,0.0011300,0.0019900,0.0016000,0,0.0008200,0.0033700,0.0006500,1,L
10,153116,0.0048456,0.0008500,0.0019600,0.0007400,1,0.0013600,0.0055600,0.0012900,0,0.0011300,0.0019900,0.0016000,0,L
14,95007,0.0047638,0.0015400,0.0016700,0.0004900,0,0.0008500,0.0019600,0.0007400,1,0.0013600,0.0055600,0.0012900,0,L
18,55102,0.0046307,0.0011700,0.0012200,0.0005100,1,0.0015400,0.0016700,0.0004900,0,0.0008500,0.0019600,0.0007400,1,L
22,149282,0.0046428,0.0011900,0.0029000,0.0007100,1,0.0011700,0.0012200,0.0005100,1,0.0015400,0.0016700,0.0004900,0,L
02,240917,0.0046554,0.0004000,0.0013100,0.0031100,0,0.0011900,0.0029000,0.0007100,1,0.0011700,0.0012200,0.0005100,1,L
06,175988,0.0049636,0.0018300,0.0064500,0.0006900,1,0.0004000,0.0013100,0.0031100,0,0.0011900,0.0029000,0.0007100,1,L
